"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","QGDP","TOT","PC_CHGPP","Q","1982-Q2",0.245173,
"OECD","QGDP","TOT","PC_CHGPP","Q","1982-Q3",-0.150658,
"OECD","QGDP","TOT","PC_CHGPP","Q","1982-Q4",0.200872,
"OECD","QGDP","TOT","PC_CHGPP","Q","1983-Q1",0.79619,
"OECD","QGDP","TOT","PC_CHGPP","Q","1983-Q2",1.119419,
"OECD","QGDP","TOT","PC_CHGPP","Q","1983-Q3",1.324468,
"OECD","QGDP","TOT","PC_CHGPP","Q","1983-Q4",1.432137,
"OECD","QGDP","TOT","PC_CHGPP","Q","1984-Q1",1.447397,
"OECD","QGDP","TOT","PC_CHGPP","Q","1984-Q2",0.671164,
"OECD","QGDP","TOT","PC_CHGPP","Q","1984-Q3",1.214519,
"OECD","QGDP","TOT","PC_CHGPP","Q","1984-Q4",0.646279,
"OECD","QGDP","TOT","PC_CHGPP","Q","1985-Q1",0.967676,
"OECD","QGDP","TOT","PC_CHGPP","Q","1985-Q2",1.07133,
"OECD","QGDP","TOT","PC_CHGPP","Q","1985-Q3",1.157881,
"OECD","QGDP","TOT","PC_CHGPP","Q","1985-Q4",0.819778,
"OECD","QGDP","TOT","PC_CHGPP","Q","1986-Q1",0.442032,
"OECD","QGDP","TOT","PC_CHGPP","Q","1986-Q2",0.644236,
"OECD","QGDP","TOT","PC_CHGPP","Q","1986-Q3",0.683741,
"OECD","QGDP","TOT","PC_CHGPP","Q","1986-Q4",0.610305,
"OECD","QGDP","TOT","PC_CHGPP","Q","1987-Q1",0.322581,
"OECD","QGDP","TOT","PC_CHGPP","Q","1987-Q2",1.636152,
"OECD","QGDP","TOT","PC_CHGPP","Q","1987-Q3",1.100888,
"OECD","QGDP","TOT","PC_CHGPP","Q","1987-Q4",1.822639,
"OECD","QGDP","TOT","PC_CHGPP","Q","1988-Q1",0.825236,
"OECD","QGDP","TOT","PC_CHGPP","Q","1988-Q2",0.714808,
"OECD","QGDP","TOT","PC_CHGPP","Q","1988-Q3",1.061367,
"OECD","QGDP","TOT","PC_CHGPP","Q","1988-Q4",1.170876,
"OECD","QGDP","TOT","PC_CHGPP","Q","1989-Q1",1.219079,
"OECD","QGDP","TOT","PC_CHGPP","Q","1989-Q2",0.39698,
"OECD","QGDP","TOT","PC_CHGPP","Q","1989-Q3",0.995957,
"OECD","QGDP","TOT","PC_CHGPP","Q","1989-Q4",0.957683,
"OECD","QGDP","TOT","PC_CHGPP","Q","1990-Q1",0.955057,
"OECD","QGDP","TOT","PC_CHGPP","Q","1990-Q2",0.920749,
"OECD","QGDP","TOT","PC_CHGPP","Q","1990-Q3",0.364845,
"OECD","QGDP","TOT","PC_CHGPP","Q","1990-Q4",0.249013,
"OECD","QGDP","TOT","PC_CHGPP","Q","1991-Q1",0.108688,
"OECD","QGDP","TOT","PC_CHGPP","Q","1991-Q2",0.604981,
"OECD","QGDP","TOT","PC_CHGPP","Q","1991-Q3",0.287148,
"OECD","QGDP","TOT","PC_CHGPP","Q","1991-Q4",0.633611,
"OECD","QGDP","TOT","PC_CHGPP","Q","1992-Q1",0.873342,
"OECD","QGDP","TOT","PC_CHGPP","Q","1992-Q2",0.312474,
"OECD","QGDP","TOT","PC_CHGPP","Q","1992-Q3",0.50477,
"OECD","QGDP","TOT","PC_CHGPP","Q","1992-Q4",0.274283,
"OECD","QGDP","TOT","PC_CHGPP","Q","1993-Q1",0.210645,
"OECD","QGDP","TOT","PC_CHGPP","Q","1993-Q2",0.431576,
"OECD","QGDP","TOT","PC_CHGPP","Q","1993-Q3",0.396627,
"OECD","QGDP","TOT","PC_CHGPP","Q","1993-Q4",0.866193,
"OECD","QGDP","TOT","PC_CHGPP","Q","1994-Q1",0.940061,
"OECD","QGDP","TOT","PC_CHGPP","Q","1994-Q2",0.582481,
"OECD","QGDP","TOT","PC_CHGPP","Q","1994-Q3",0.894833,
"OECD","QGDP","TOT","PC_CHGPP","Q","1994-Q4",0.971758,
"OECD","QGDP","TOT","PC_CHGPP","Q","1995-Q1",0.370404,
"OECD","QGDP","TOT","PC_CHGPP","Q","1995-Q2",0.385517,
"OECD","QGDP","TOT","PC_CHGPP","Q","1995-Q3",0.857844,
"OECD","QGDP","TOT","PC_CHGPP","Q","1995-Q4",0.562227,
"OECD","QGDP","TOT","PC_CHGPP","Q","1996-Q1",0.719318,
"OECD","QGDP","TOT","PC_CHGPP","Q","1996-Q2",1.169182,
"OECD","QGDP","TOT","PC_CHGPP","Q","1996-Q3",0.71692,
"OECD","QGDP","TOT","PC_CHGPP","Q","1996-Q4",0.936532,
"OECD","QGDP","TOT","PC_CHGPP","Q","1997-Q1",0.59416,
"OECD","QGDP","TOT","PC_CHGPP","Q","1997-Q2",1.311478,
"OECD","QGDP","TOT","PC_CHGPP","Q","1997-Q3",0.908731,
"OECD","QGDP","TOT","PC_CHGPP","Q","1997-Q4",0.922362,
"OECD","QGDP","TOT","PC_CHGPP","Q","1998-Q1",0.412352,
"OECD","QGDP","TOT","PC_CHGPP","Q","1998-Q2",0.505519,
"OECD","QGDP","TOT","PC_CHGPP","Q","1998-Q3",0.781983,
"OECD","QGDP","TOT","PC_CHGPP","Q","1998-Q4",0.81047,
"OECD","QGDP","TOT","PC_CHGPP","Q","1999-Q1",0.629869,
"OECD","QGDP","TOT","PC_CHGPP","Q","1999-Q2",0.742418,
"OECD","QGDP","TOT","PC_CHGPP","Q","1999-Q3",1.216388,
"OECD","QGDP","TOT","PC_CHGPP","Q","1999-Q4",1.31752,
"OECD","QGDP","TOT","PC_CHGPP","Q","2000-Q1",0.981673,
"OECD","QGDP","TOT","PC_CHGPP","Q","2000-Q2",1.249985,
"OECD","QGDP","TOT","PC_CHGPP","Q","2000-Q3",0.501822,
"OECD","QGDP","TOT","PC_CHGPP","Q","2000-Q4",0.558685,
"OECD","QGDP","TOT","PC_CHGPP","Q","2001-Q1",0.278988,
"OECD","QGDP","TOT","PC_CHGPP","Q","2001-Q2",0.174838,
"OECD","QGDP","TOT","PC_CHGPP","Q","2001-Q3",-0.042552,
"OECD","QGDP","TOT","PC_CHGPP","Q","2001-Q4",0.169553,
"OECD","QGDP","TOT","PC_CHGPP","Q","2002-Q1",0.586503,
"OECD","QGDP","TOT","PC_CHGPP","Q","2002-Q2",0.774575,
"OECD","QGDP","TOT","PC_CHGPP","Q","2002-Q3",0.528845,
"OECD","QGDP","TOT","PC_CHGPP","Q","2002-Q4",0.308238,
"OECD","QGDP","TOT","PC_CHGPP","Q","2003-Q1",0.228315,
"OECD","QGDP","TOT","PC_CHGPP","Q","2003-Q2",0.512411,
"OECD","QGDP","TOT","PC_CHGPP","Q","2003-Q3",1.078915,
"OECD","QGDP","TOT","PC_CHGPP","Q","2003-Q4",1.056413,
"OECD","QGDP","TOT","PC_CHGPP","Q","2004-Q1",0.787934,
"OECD","QGDP","TOT","PC_CHGPP","Q","2004-Q2",0.670137,
"OECD","QGDP","TOT","PC_CHGPP","Q","2004-Q3",0.594549,
"OECD","QGDP","TOT","PC_CHGPP","Q","2004-Q4",0.666976,
"OECD","QGDP","TOT","PC_CHGPP","Q","2005-Q1",0.782018,
"OECD","QGDP","TOT","PC_CHGPP","Q","2005-Q2",0.66849,
"OECD","QGDP","TOT","PC_CHGPP","Q","2005-Q3",0.931742,
"OECD","QGDP","TOT","PC_CHGPP","Q","2005-Q4",0.795043,
"OECD","QGDP","TOT","PC_CHGPP","Q","2006-Q1",1.057307,
"OECD","QGDP","TOT","PC_CHGPP","Q","2006-Q2",0.667322,
"OECD","QGDP","TOT","PC_CHGPP","Q","2006-Q3",0.343428,
"OECD","QGDP","TOT","PC_CHGPP","Q","2006-Q4",0.984106,
"OECD","QGDP","TOT","PC_CHGPP","Q","2007-Q1",0.720444,
"OECD","QGDP","TOT","PC_CHGPP","Q","2007-Q2",0.596594,
"OECD","QGDP","TOT","PC_CHGPP","Q","2007-Q3",0.461709,
"OECD","QGDP","TOT","PC_CHGPP","Q","2007-Q4",0.74502,
"OECD","QGDP","TOT","PC_CHGPP","Q","2008-Q1",0.168168,
"OECD","QGDP","TOT","PC_CHGPP","Q","2008-Q2",-0.038343,
"OECD","QGDP","TOT","PC_CHGPP","Q","2008-Q3",-0.544598,
"OECD","QGDP","TOT","PC_CHGPP","Q","2008-Q4",-1.920791,
"OECD","QGDP","TOT","PC_CHGPP","Q","2009-Q1",-2.255205,
"OECD","QGDP","TOT","PC_CHGPP","Q","2009-Q2",0.151006,
"OECD","QGDP","TOT","PC_CHGPP","Q","2009-Q3",0.564295,
"OECD","QGDP","TOT","PC_CHGPP","Q","2009-Q4",0.94174,
"OECD","QGDP","TOT","PC_CHGPP","Q","2010-Q1",0.617638,
"OECD","QGDP","TOT","PC_CHGPP","Q","2010-Q2",1.072194,
"OECD","QGDP","TOT","PC_CHGPP","Q","2010-Q3",0.8204,
"OECD","QGDP","TOT","PC_CHGPP","Q","2010-Q4",0.572998,
"OECD","QGDP","TOT","PC_CHGPP","Q","2011-Q1",0.277729,
"OECD","QGDP","TOT","PC_CHGPP","Q","2011-Q2",0.38814,
"OECD","QGDP","TOT","PC_CHGPP","Q","2011-Q3",0.588132,
"OECD","QGDP","TOT","PC_CHGPP","Q","2011-Q4",0.459886,
"OECD","QGDP","TOT","PC_CHGPP","Q","2012-Q1",0.443868,
"OECD","QGDP","TOT","PC_CHGPP","Q","2012-Q2",0.140585,
"OECD","QGDP","TOT","PC_CHGPP","Q","2012-Q3",0.158904,
"OECD","QGDP","TOT","PC_CHGPP","Q","2012-Q4",0.084731,
"OECD","QGDP","TOT","PC_CHGPP","Q","2013-Q1",0.595687,
"OECD","QGDP","TOT","PC_CHGPP","Q","2013-Q2",0.498551,
"OECD","QGDP","TOT","PC_CHGPP","Q","2013-Q3",0.704346,
"OECD","QGDP","TOT","PC_CHGPP","Q","2013-Q4",0.544762,
"OECD","QGDP","TOT","PC_CHGPP","Q","2014-Q1",0.391961,
"OECD","QGDP","TOT","PC_CHGPP","Q","2014-Q2",0.475052,
"OECD","QGDP","TOT","PC_CHGPP","Q","2014-Q3",0.789566,
"OECD","QGDP","TOT","PC_CHGPP","Q","2014-Q4",0.613004,
"OECD","QGDP","TOT","PC_CHGPP","Q","2015-Q1",0.799465,
"OECD","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.571374,
"OECD","QGDP","TOT","PC_CHGPP","Q","2015-Q3",0.50779,
"OECD","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.262163,
"OECD","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.504613,
"OECD","QGDP","TOT","PC_CHGPP","Q","2016-Q2",0.424686,
"OECD","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.359743,
"OECD","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.849461,
"OECD","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.70127,
"OECD","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.652317,
"OECD","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.743208,
"OECD","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.814392,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.502936,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.573265,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.306355,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.243553,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.629846,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.416334,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.406081,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.1598,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.8,
"USA","QGDP","TOT","PC_CHGPP","Q","1947-Q2",-0.266691,
"USA","QGDP","TOT","PC_CHGPP","Q","1947-Q3",-0.206496,
"USA","QGDP","TOT","PC_CHGPP","Q","1947-Q4",1.564208,
"USA","QGDP","TOT","PC_CHGPP","Q","1948-Q1",1.504256,
"USA","QGDP","TOT","PC_CHGPP","Q","1948-Q2",1.650658,
"USA","QGDP","TOT","PC_CHGPP","Q","1948-Q3",0.572897,
"USA","QGDP","TOT","PC_CHGPP","Q","1948-Q4",0.111742,
"USA","QGDP","TOT","PC_CHGPP","Q","1949-Q1",-1.377951,
"USA","QGDP","TOT","PC_CHGPP","Q","1949-Q2",-0.341097,
"USA","QGDP","TOT","PC_CHGPP","Q","1949-Q3",1.032415,
"USA","QGDP","TOT","PC_CHGPP","Q","1949-Q4",-0.839275,
"USA","QGDP","TOT","PC_CHGPP","Q","1950-Q1",3.930121,
"USA","QGDP","TOT","PC_CHGPP","Q","1950-Q2",3.049835,
"USA","QGDP","TOT","PC_CHGPP","Q","1950-Q3",3.864389,
"USA","QGDP","TOT","PC_CHGPP","Q","1950-Q4",1.914763,
"USA","QGDP","TOT","PC_CHGPP","Q","1951-Q1",1.358164,
"USA","QGDP","TOT","PC_CHGPP","Q","1951-Q2",1.732736,
"USA","QGDP","TOT","PC_CHGPP","Q","1951-Q3",2.060983,
"USA","QGDP","TOT","PC_CHGPP","Q","1951-Q4",0.220241,
"USA","QGDP","TOT","PC_CHGPP","Q","1952-Q1",1.068549,
"USA","QGDP","TOT","PC_CHGPP","Q","1952-Q2",0.215386,
"USA","QGDP","TOT","PC_CHGPP","Q","1952-Q3",0.721871,
"USA","QGDP","TOT","PC_CHGPP","Q","1952-Q4",3.284198,
"USA","QGDP","TOT","PC_CHGPP","Q","1953-Q1",1.858854,
"USA","QGDP","TOT","PC_CHGPP","Q","1953-Q2",0.772984,
"USA","QGDP","TOT","PC_CHGPP","Q","1953-Q3",-0.562694,
"USA","QGDP","TOT","PC_CHGPP","Q","1953-Q4",-1.513976,
"USA","QGDP","TOT","PC_CHGPP","Q","1954-Q1",-0.478013,
"USA","QGDP","TOT","PC_CHGPP","Q","1954-Q2",0.108991,
"USA","QGDP","TOT","PC_CHGPP","Q","1954-Q3",1.129364,
"USA","QGDP","TOT","PC_CHGPP","Q","1954-Q4",1.956683,
"USA","QGDP","TOT","PC_CHGPP","Q","1955-Q1",2.856249,
"USA","QGDP","TOT","PC_CHGPP","Q","1955-Q2",1.627179,
"USA","QGDP","TOT","PC_CHGPP","Q","1955-Q3",1.350478,
"USA","QGDP","TOT","PC_CHGPP","Q","1955-Q4",0.600325,
"USA","QGDP","TOT","PC_CHGPP","Q","1956-Q1",-0.388406,
"USA","QGDP","TOT","PC_CHGPP","Q","1956-Q2",0.826333,
"USA","QGDP","TOT","PC_CHGPP","Q","1956-Q3",-0.089833,
"USA","QGDP","TOT","PC_CHGPP","Q","1956-Q4",1.645929,
"USA","QGDP","TOT","PC_CHGPP","Q","1957-Q1",0.640392,
"USA","QGDP","TOT","PC_CHGPP","Q","1957-Q2",-0.219102,
"USA","QGDP","TOT","PC_CHGPP","Q","1957-Q3",0.979883,
"USA","QGDP","TOT","PC_CHGPP","Q","1957-Q4",-1.034588,
"USA","QGDP","TOT","PC_CHGPP","Q","1958-Q1",-2.595847,
"USA","QGDP","TOT","PC_CHGPP","Q","1958-Q2",0.657371,
"USA","QGDP","TOT","PC_CHGPP","Q","1958-Q3",2.313854,
"USA","QGDP","TOT","PC_CHGPP","Q","1958-Q4",2.339305,
"USA","QGDP","TOT","PC_CHGPP","Q","1959-Q1",1.921298,
"USA","QGDP","TOT","PC_CHGPP","Q","1959-Q2",2.25642,
"USA","QGDP","TOT","PC_CHGPP","Q","1959-Q3",0.071201,
"USA","QGDP","TOT","PC_CHGPP","Q","1959-Q4",0.285039,
"USA","QGDP","TOT","PC_CHGPP","Q","1960-Q1",2.247298,
"USA","QGDP","TOT","PC_CHGPP","Q","1960-Q2",-0.539387,
"USA","QGDP","TOT","PC_CHGPP","Q","1960-Q3",0.489275,
"USA","QGDP","TOT","PC_CHGPP","Q","1960-Q4",-1.283434,
"USA","QGDP","TOT","PC_CHGPP","Q","1961-Q1",0.675029,
"USA","QGDP","TOT","PC_CHGPP","Q","1961-Q2",1.697479,
"USA","QGDP","TOT","PC_CHGPP","Q","1961-Q3",1.919639,
"USA","QGDP","TOT","PC_CHGPP","Q","1961-Q4",1.961109,
"USA","QGDP","TOT","PC_CHGPP","Q","1962-Q1",1.783599,
"USA","QGDP","TOT","PC_CHGPP","Q","1962-Q2",0.903672,
"USA","QGDP","TOT","PC_CHGPP","Q","1962-Q3",1.228508,
"USA","QGDP","TOT","PC_CHGPP","Q","1962-Q4",0.328861,
"USA","QGDP","TOT","PC_CHGPP","Q","1963-Q1",1.091605,
"USA","QGDP","TOT","PC_CHGPP","Q","1963-Q2",1.122124,
"USA","QGDP","TOT","PC_CHGPP","Q","1963-Q3",2.198426,
"USA","QGDP","TOT","PC_CHGPP","Q","1963-Q4",0.655596,
"USA","QGDP","TOT","PC_CHGPP","Q","1964-Q1",2.108279,
"USA","QGDP","TOT","PC_CHGPP","Q","1964-Q2",1.088705,
"USA","QGDP","TOT","PC_CHGPP","Q","1964-Q3",1.562301,
"USA","QGDP","TOT","PC_CHGPP","Q","1964-Q4",0.308893,
"USA","QGDP","TOT","PC_CHGPP","Q","1965-Q1",2.419765,
"USA","QGDP","TOT","PC_CHGPP","Q","1965-Q2",1.263271,
"USA","QGDP","TOT","PC_CHGPP","Q","1965-Q3",2.223268,
"USA","QGDP","TOT","PC_CHGPP","Q","1965-Q4",2.304043,
"USA","QGDP","TOT","PC_CHGPP","Q","1966-Q1",2.434232,
"USA","QGDP","TOT","PC_CHGPP","Q","1966-Q2",0.341617,
"USA","QGDP","TOT","PC_CHGPP","Q","1966-Q3",0.846905,
"USA","QGDP","TOT","PC_CHGPP","Q","1966-Q4",0.820372,
"USA","QGDP","TOT","PC_CHGPP","Q","1967-Q1",0.885587,
"USA","QGDP","TOT","PC_CHGPP","Q","1967-Q2",0.061271,
"USA","QGDP","TOT","PC_CHGPP","Q","1967-Q3",0.946133,
"USA","QGDP","TOT","PC_CHGPP","Q","1967-Q4",0.75402,
"USA","QGDP","TOT","PC_CHGPP","Q","1968-Q1",2.039493,
"USA","QGDP","TOT","PC_CHGPP","Q","1968-Q2",1.670809,
"USA","QGDP","TOT","PC_CHGPP","Q","1968-Q3",0.774972,
"USA","QGDP","TOT","PC_CHGPP","Q","1968-Q4",0.393303,
"USA","QGDP","TOT","PC_CHGPP","Q","1969-Q1",1.565108,
"USA","QGDP","TOT","PC_CHGPP","Q","1969-Q2",0.304007,
"USA","QGDP","TOT","PC_CHGPP","Q","1969-Q3",0.660512,
"USA","QGDP","TOT","PC_CHGPP","Q","1969-Q4",-0.487685,
"USA","QGDP","TOT","PC_CHGPP","Q","1970-Q1",-0.148485,
"USA","QGDP","TOT","PC_CHGPP","Q","1970-Q2",0.14192,
"USA","QGDP","TOT","PC_CHGPP","Q","1970-Q3",0.921575,
"USA","QGDP","TOT","PC_CHGPP","Q","1970-Q4",-1.071644,
"USA","QGDP","TOT","PC_CHGPP","Q","1971-Q1",2.715991,
"USA","QGDP","TOT","PC_CHGPP","Q","1971-Q2",0.541112,
"USA","QGDP","TOT","PC_CHGPP","Q","1971-Q3",0.822985,
"USA","QGDP","TOT","PC_CHGPP","Q","1971-Q4",0.235779,
"USA","QGDP","TOT","PC_CHGPP","Q","1972-Q1",1.838953,
"USA","QGDP","TOT","PC_CHGPP","Q","1972-Q2",2.26976,
"USA","QGDP","TOT","PC_CHGPP","Q","1972-Q3",0.944391,
"USA","QGDP","TOT","PC_CHGPP","Q","1972-Q4",1.674461,
"USA","QGDP","TOT","PC_CHGPP","Q","1973-Q1",2.474813,
"USA","QGDP","TOT","PC_CHGPP","Q","1973-Q2",1.088651,
"USA","QGDP","TOT","PC_CHGPP","Q","1973-Q3",-0.525903,
"USA","QGDP","TOT","PC_CHGPP","Q","1973-Q4",0.949225,
"USA","QGDP","TOT","PC_CHGPP","Q","1974-Q1",-0.859765,
"USA","QGDP","TOT","PC_CHGPP","Q","1974-Q2",0.237677,
"USA","QGDP","TOT","PC_CHGPP","Q","1974-Q3",-0.945134,
"USA","QGDP","TOT","PC_CHGPP","Q","1974-Q4",-0.388141,
"USA","QGDP","TOT","PC_CHGPP","Q","1975-Q1",-1.217301,
"USA","QGDP","TOT","PC_CHGPP","Q","1975-Q2",0.714544,
"USA","QGDP","TOT","PC_CHGPP","Q","1975-Q3",1.711658,
"USA","QGDP","TOT","PC_CHGPP","Q","1975-Q4",1.346508,
"USA","QGDP","TOT","PC_CHGPP","Q","1976-Q1",2.248761,
"USA","QGDP","TOT","PC_CHGPP","Q","1976-Q2",0.733696,
"USA","QGDP","TOT","PC_CHGPP","Q","1976-Q3",0.54872,
"USA","QGDP","TOT","PC_CHGPP","Q","1976-Q4",0.724846,
"USA","QGDP","TOT","PC_CHGPP","Q","1977-Q1",1.181492,
"USA","QGDP","TOT","PC_CHGPP","Q","1977-Q2",1.944109,
"USA","QGDP","TOT","PC_CHGPP","Q","1977-Q3",1.804351,
"USA","QGDP","TOT","PC_CHGPP","Q","1977-Q4",0.002187,
"USA","QGDP","TOT","PC_CHGPP","Q","1978-Q1",0.319178,
"USA","QGDP","TOT","PC_CHGPP","Q","1978-Q2",3.864251,
"USA","QGDP","TOT","PC_CHGPP","Q","1978-Q3",1.005523,
